iter	Passed	Remaining
0	148	148066
1	148	74303
2	150	49896
3	152	37908
4	153	30631
5	155	25754
6	156	22248
7	158	19631
8	159	17579
9	161	15945
10	162	14567
11	163	13423
12	163	12437
13	164	11579
14	165	10869
15	166	10232
16	167	9672
17	167	9164
18	168	8710
19	169	8308
20	170	7947
21	171	7620
22	172	7313
23	172	7029
24	173	6769
25	174	6528
26	174	6304
27	175	6097
28	176	5906
29	176	5722
30	177	5551
31	178	5389
32	178	5236
33	179	5091
34	179	4955
35	180	4825
36	180	4702
37	181	4591
38	181	4483
39	182	4379
40	183	4281
41	183	4186
42	184	4096
43	184	4009
44	185	3926
45	185	3847
46	186	3771
47	186	3702
48	187	3634
49	187	3568
50	188	3504
51	188	3442
52	189	3382
53	189	3324
54	190	3269
55	190	3215
56	191	3166
57	192	3119
58	192	3071
59	193	3025
60	193	2979
61	194	2935
62	194	2893
63	194	2851
64	195	2812
65	196	2773
66	196	2735
67	197	2704
68	197	2670
69	198	2636
70	198	2603
71	199	2570
72	199	2538
73	200	2507
74	200	2477
75	201	2448
76	201	2419
77	202	2392
78	202	2365
79	203	2339
80	203	2314
81	204	2289
82	204	2263
83	205	2240
84	205	2216
85	206	2194
86	206	2171
87	207	2149
88	208	2129
89	208	2108
90	209	2088
91	209	2069
92	210	2050
93	210	2031
94	211	2012
95	211	1993
96	212	1975
97	212	1957
98	213	1939
99	213	1923
100	214	1906
101	214	1889
102	215	1873
103	215	1857
104	216	1841
105	216	1826
106	217	1811
107	217	1797
108	218	1783
109	218	1770
110	219	1756
111	219	1743
112	220	1729
113	220	1716
114	221	1703
115	221	1690
116	222	1677
117	222	1664
118	223	1652
119	223	1640
120	224	1629
121	224	1617
122	225	1605
123	225	1594
124	226	1583
125	226	1572
126	227	1561
127	227	1551
128	228	1542
129	228	1531
130	229	1521
131	230	1513
132	230	1503
133	231	1493
134	231	1484
135	232	1475
136	232	1467
137	233	1458
138	233	1449
139	234	1440
140	234	1431
141	235	1422
142	235	1413
143	236	1405
144	237	1398
145	237	1390
146	238	1382
147	238	1374
148	239	1365
149	239	1357
150	240	1350
151	240	1342
152	241	1335
153	241	1327
154	242	1320
155	242	1312
156	243	1305
157	243	1298
158	244	1291
159	244	1284
160	245	1277
161	245	1270
162	246	1264
163	246	1257
164	247	1251
165	247	1244
166	248	1238
167	248	1231
168	249	1225
169	249	1218
170	250	1212
171	250	1206
172	251	1200
173	251	1195
174	252	1189
175	252	1184
176	253	1178
177	254	1173
178	254	1168
179	255	1162
180	255	1157
181	256	1151
182	256	1146
183	257	1141
184	258	1136
185	258	1131
186	259	1126
187	259	1121
188	260	1117
189	260	1112
190	261	1107
191	262	1103
192	262	1098
193	263	1094
194	264	1090
195	264	1086
196	265	1082
197	266	1078
198	266	1073
199	267	1068
200	267	1064
201	268	1060
202	269	1056
203	269	1052
204	270	1048
205	270	1044
206	271	1040
207	272	1036
208	272	1032
209	273	1028
210	274	1025
211	275	1022
212	275	1019
213	276	1015
214	277	1011
215	277	1007
216	278	1004
217	278	1000
218	279	997
219	280	993
220	280	989
221	281	986
222	282	983
223	282	979
224	283	976
225	283	972
226	284	969
227	285	966
228	286	963
229	286	959
230	287	956
231	288	953
232	288	950
233	289	946
234	289	943
235	290	940
236	291	937
237	291	934
238	292	931
239	293	928
240	293	925
241	294	921
242	294	918
243	295	915
244	296	912
245	296	909
246	297	906
247	298	903
248	298	900
249	299	897
250	299	894
251	300	891
252	301	889
253	301	886
254	302	883
255	303	880
256	303	878
257	304	875
258	304	872
259	305	869
260	306	866
261	306	864
262	307	862
263	308	859
264	309	857
265	309	854
266	310	851
267	310	848
268	311	846
269	312	843
270	312	841
271	313	838
272	314	836
273	314	833
274	315	830
275	315	828
276	316	825
277	316	823
278	317	821
279	318	819
280	319	817
281	320	815
282	320	812
283	321	810
284	321	807
285	322	805
286	323	802
287	323	800
288	324	797
289	324	795
290	325	792
291	325	790
292	326	787
293	326	785
294	327	782
295	328	780
296	328	778
297	329	775
298	330	774
299	330	771
300	331	769
301	332	767
302	332	765
303	333	763
304	334	761
305	334	759
306	335	757
307	336	755
308	336	752
309	337	750
310	337	748
311	338	746
312	339	744
313	339	742
314	340	740
315	341	738
316	342	736
317	342	734
318	343	732
319	343	730
320	344	728
321	345	726
322	345	724
323	346	723
324	347	721
325	347	718
326	348	717
327	349	715
328	349	713
329	350	711
330	351	709
331	351	707
332	352	705
333	352	703
334	353	701
335	354	699
336	354	697
337	355	696
338	356	694
339	356	692
340	357	690
341	357	688
342	358	686
343	359	684
344	359	683
345	360	682
346	361	680
347	362	678
348	362	676
349	363	675
350	364	673
351	364	671
352	365	669
353	366	668
354	366	666
355	367	664
356	368	663
357	368	661
358	369	659
359	370	658
360	370	656
361	371	654
362	372	653
363	373	652
364	374	650
365	374	649
366	375	647
367	376	646
368	376	644
369	377	642
370	378	641
371	379	639
372	379	638
373	380	636
374	381	635
375	381	633
376	382	631
377	382	630
378	383	628
379	384	627
380	385	625
381	385	624
382	386	622
383	387	621
384	388	620
385	389	618
386	389	617
387	390	616
388	391	614
389	392	613
390	392	611
391	393	610
392	394	609
393	395	608
394	396	606
395	396	605
396	397	604
397	398	602
398	399	601
399	400	600
400	400	598
401	401	597
402	402	596
403	403	594
404	403	593
405	404	591
406	405	590
407	406	589
408	406	587
